"","DATE","OPINION","PROS","CONS","company"
"19","Selector (Former Employee) - Bathgate - 5 December 2019","The warehouse would be ran better with a pterodactyl in charge. Management couldn’t care less about your well-being, health etc. Only care about the items getting placed onto a smelly pallet. Deputy’s as useful as a chocolate pan. Could be 50 year old and get treat like a baby. Would be better doing a few year behind bars than a few year in this place. ","Nothing","All","ALDI"
"20","Production Operative (Former Employee) - bathgate - 2 November 2019",NA,"The people","99% of the job","ALDI"
"21","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","None","None","Everything","ALDI"
"22","store assistant (Former Employee) - Edinburgh, City of Edinburgh - 28 August 2019","Everything","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"23","Store Assistant (Former Employee) - Edinburgh City, Midlothian - 25 December 2016","The job is tough , lots of point scorers , wanting to have a pop at trivial matters , you know, usually ex army bootlickers trying to sound assertive as though they own you . The culture is they all look for negatives , never praise when it's deserved, you never get praised for your hard work with colleagues ,. Though a nice bonus at Christmas came as  a surprise , the jobs tough but ok if you can switch off from wannabe bootlicking jobsworths in your midsts ","Car park, coffee","None","ALDI"
"24","Warehouse Operative (Current Employee) - Bathgate, West Lothian - 12 April 2021",NA,"Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"25","Selector (Current Employee) - Bathgate, West Lothian - 4 April 2021","It's a job, payed breaks","Friendly and helpful staff and management","None","ALDI"
"26","Delivery Driver (Former Employee) - Bathgate, West Lothian - 29 December 2020","Gobby wannabes desperate to see you fail","Hourly rate","Poor management, hours per month change monthly","ALDI"
"27","Driver class 1 (Current Employee) - Bathgate - 20 December 2020","Very good place to work , can’t complain at all .","Good benifits","Had to shave facial hair","ALDI"
"28","Deputy Store Manager (Former Employee) - Falkirk, Falkirk - 27 June 2020","Genuinely best place and really good pay !! ","Nothing","All","ALDI"
"29","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020","Lots o work to do , but it’s really pay off at the end of the month ","The people","99% of the job","ALDI"
"30","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020",NA,"None","Everything","ALDI"
"31","Store Order Selector (Current Employee) - Bathgate - 20 February 2020","Car park, coffee","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"32","Store Assistant (Current Employee) - Cowdenbeath - 15 February 2020","None","Car park, coffee","None","ALDI"
"33","HGV Driver (Current Employee) - Bathgate, West Lothian - 9 February 2020","Archaic management, many false promises, consistently lied to in terms of progression opportunities, shift times would change during your shift and if you couldn’t meet requirements you would be performance managed into uncomfortable positions","Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"34","Store Assistant (Former Employee) - Bathgate - 23 January 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"35","Picker/Packer (Former Employee) - Bathgate - 20 January 2020","Met many amazing people","Hourly rate","Poor management, hours per month change monthly","ALDI"
"36","picker (Current Employee) - Bathgate - 12 January 2020","Money isn’t as good as made out to be, for the level of work required","Good benifits","Had to shave facial hair","ALDI"
"37","Shop Assistant (Former Employee) - Kirkcaldy - 8 January 2020","I really enjoyed my experience with Aldi and would highly recommend anyone to work for them, I found them to be very friendly, helpful and they knew exactly what they wanted from you and what you wanted from them.","Nothing","All","ALDI"
"38","Deputy Manager (Current Employee) - Whitburn - 6 January 2020",NA,"The people","99% of the job","ALDI"
"39","Selector (Former Employee) - Bathgate - 5 December 2019","Friendly and helpful staff and management","None","Everything","ALDI"
"40","Production Operative (Former Employee) - bathgate - 2 November 2019","None","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"41","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","kept on your  toes, fast paced and well worth applying. be prepared to have to work at your position. don't be afraid to reach higher than your main role.","Car park, coffee","None","ALDI"
"42","store assistant (Former Employee) - Edinburgh, City of Edinburgh - 28 August 2019",NA,"Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"43","Store Assistant (Former Employee) - Edinburgh City, Midlothian - 25 December 2016","Aldi is a great place to work, excellent wages, colleagues, benefit packages, pension scheme and job security. Shift patterns are good working no more than 4 days in a row and have every 3rd weekend off (shift patterns vary across different departments) lots of scope for progression as the company is constantly expanding. Management are helpful and informative. Only negative i can really give is that the job gets very repetitive and it is very physically demanding (depending on the department) so be prepared to be worked hard!","Friendly and helpful staff and management","None","ALDI"
"44","Warehouse Operative (Current Employee) - Bathgate, West Lothian - 12 April 2021",NA,"Hourly rate","Poor management, hours per month change monthly","ALDI"
"45","Selector (Current Employee) - Bathgate, West Lothian - 4 April 2021","If you dont want to be working in a fast paced environment dont apply. Aldi requires people who work hard, fast and accurately. I enjoy my job at aldi as it always keeps me on my toes and I treat it as exercise!","Good benifits","Had to shave facial hair","ALDI"
"46","Delivery Driver (Former Employee) - Bathgate, West Lothian - 29 December 2020",NA,"Nothing","All","ALDI"
"47","Driver class 1 (Current Employee) - Bathgate - 20 December 2020","Great place to work ","The people","99% of the job","ALDI"
"48","Deputy Store Manager (Former Employee) - Falkirk, Falkirk - 27 June 2020",NA,"None","Everything","ALDI"
"49","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020","Go in do what’s asked, occasionally asked to do a little extra but wages never an issue. ","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"50","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020",NA,"Car park, coffee","None","ALDI"
"51","Store Order Selector (Current Employee) - Bathgate - 20 February 2020","Any personal or work related issues supervisor level were always willing to listen or help ","Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"52","Store Assistant (Current Employee) - Cowdenbeath - 15 February 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"53","HGV Driver (Current Employee) - Bathgate, West Lothian - 9 February 2020",NA,"Hourly rate","Poor management, hours per month change monthly","ALDI"
"54","Store Assistant (Former Employee) - Bathgate - 23 January 2020",NA,"Good benifits","Had to shave facial hair","ALDI"
"55","Picker/Packer (Former Employee) - Bathgate - 20 January 2020","No life outside of work unless they actually try to provide more suitable hours for you. Depends on store, warehouse etc. Some managers can get lazy and have you do work out of your pay grade. Some times you feel like they just rip the mince really :/ Did enjoy the job, just the people you work with make it difficult","Nothing","All","ALDI"
"56","picker (Current Employee) - Bathgate - 12 January 2020",NA,"The people","99% of the job","ALDI"
"57","Shop Assistant (Former Employee) - Kirkcaldy - 8 January 2020","simple work, however, hard and responsible ","None","Everything","ALDI"
"58","Deputy Manager (Current Employee) - Whitburn - 6 January 2020","the opportunity to work more hours an employee-friendly company, however, the work consists of punctuality of accuracy and time of its implementation which is associated with responsibility but hard work","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"59","Selector (Former Employee) - Bathgate - 5 December 2019",NA,"Car park, coffee","None","ALDI"
"60","Production Operative (Former Employee) - bathgate - 2 November 2019","Would not know what time shift would finish anywhere from 12 to 4:30. Same every day so cannot plan to do anything after work. Sometimes work 200+ a month sometimes less than 150","Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"61","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"62","store assistant (Former Employee) - Edinburgh, City of Edinburgh - 28 August 2019","Hourly rate","Hourly rate","Poor management, hours per month change monthly","ALDI"
"63","Store Assistant (Former Employee) - Edinburgh City, Midlothian - 25 December 2016","Poor management, hours per month change monthly","Good benifits","Had to shave facial hair","ALDI"
"64","Warehouse Operative (Current Employee) - Bathgate, West Lothian - 12 April 2021","I enjoyed my time here the staff were good and the working conditions were also good, hard work and long hours sometimes, you could be standing for a long time too.","Nothing","All","ALDI"
"65","Selector (Current Employee) - Bathgate, West Lothian - 4 April 2021",NA,"The people","99% of the job","ALDI"
"66","Delivery Driver (Former Employee) - Bathgate, West Lothian - 29 December 2020","Good benifits","None","Everything","ALDI"
"67","Driver class 1 (Current Employee) - Bathgate - 20 December 2020","Had to shave facial hair","It's a job, payed breaks","Gobby wannabes desperate to see you fail","ALDI"
"68","Deputy Store Manager (Former Employee) - Falkirk, Falkirk - 27 June 2020","Design a shift plan. Monitore store assistants at work. Monitor daily sales. Place orders. Deal with customer queries and and complaints. Handle any issues members of staff may have.","Car park, coffee","None","ALDI"
"69","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020",NA,"Met many amazing people","Money isn’t as good as made out to be, for the level of work required","ALDI"
"70","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020","Good pay but the vast majority of management are clueless, very incompetent. Treat majority of staff with no respect and are terrible at their job to say the least. You get a lot of new starts coming in who will do a few shifts and then no bother coming back due to the place being ran so badly. Very early starts, the job can be mentally and physically draining also.","Friendly and helpful staff and management","None","ALDI"
"71","Store Order Selector (Current Employee) - Bathgate - 20 February 2020",NA,"Hourly rate","Poor management, hours per month change monthly","ALDI"
"72","Store Assistant (Current Employee) - Cowdenbeath - 15 February 2020","Aldi was the worst experience of my life. They push you beyond your limits everyday. I ended up developing a stressed bladder problem and extreme fatigue through clinical burn out. Management blamed everything but work. I also had severe muscle knots causing muscle tissue damage which I'm still dealing with.","Good benifits","Had to shave facial hair","ALDI"
"73","HGV Driver (Current Employee) - Bathgate, West Lothian - 9 February 2020",NA,"Nothing","All","ALDI"
"74","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed my time with Aldi and a shame I had to leave.  ","Money","Management","ALDI"
"75","Store Assistant (Former Employee) - Fishponds, Bristol - 9 March 2021","I feel that Adli's is very fair and honest employers.  The personal connection between management and staff is essential to how you are treated.","Weight loss and wages are fab after first 12 weeks","I got painful elbows after a year from heavy lifting","ALDI"
"76","Store Assistant (Former Employee) - West Bromwich - 9 March 2021","Being part of a strong team makes the job worth doing. ","Pay, fun place to work","Lack of progression","ALDI"
"77","Warehouse Operative / Order Picker (Former Employee) - Rotherham - 7 March 2021","Meeting new and interesting people, learn to recognise what type of shopper people are.","Free coffee.","A lot","ALDI"
"78","Deputy Manager (Former Employee) - Blackpool, Lancashire - 3 March 2021","Became a better communicator through guidance and training.","Engaged in Work","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","ALDI"
"79","Selector (Former Employee) - Sawley, Derbyshire - 24 February 2021",NA,"Paid lunch breaks and good hourly pay.","Awkward shifts.little overtime availiable","ALDI"
"80","Store Assistant (Former Employee) - Stevenage - 24 February 2021","They don't care if you open up about your life crumbling and how difficult it has become to work, they only care about their store and their income even if your open with them ","Salary","Culture","ALDI"
"81","Store Assistant (Current Employee) - Birmingham, West Midlands - 22 February 2021",NA,"Great salary, free fruit, nice offices","Boring job, no development","ALDI"
"82","Deputy Manager (Former Employee) - Darlington, Durham - 19 February 2021","The only motivator for working here was the money. For almost 10 pound an hour any 17 year old would take this job, on a 10 hour a week contract whilst doing A-levels, this was convenient. What they don't tell you in the interview is that they will expect you to do twice the amount of hours your contract is signed for. Management is shambles, my second day I got called in after having 15 minutes training on a till to tell me I was doing my job wrong, in a very hateful way may I add, effecting my emotions for the rest of the shift. I might also add that I was given no specific reason as to why I was doing my job wrong, just that for my second day its ""not what they expect"". Overall, I never felt welcome in there ""big happy family"" and in fact there is more to what meets the eye. Lots of favouritism between managers and employees. ","Good wages","No focus on staff retention","ALDI"
"83","Administration Assistant (Former Employee) - Atherstone, Warwickshire - 18 February 2021",NA,"Wages","Vindictive superiors","ALDI"
"84","Store Assistant (Former Employee) - Lancashire - 15 February 2021","Money","Competitive pay","Long hours, stressful, little training and support","ALDI"
"85","HGV Class 1 Driver (Former Employee) - Chelmsford - 14 February 2021","Management","None","Everything","ALDI"
"86","Store Assistant (Former Employee) - Oswestry - 5 February 2021","If you want to lose weight and get some muscles and good  money this is highly recommended. Excellent pay after 12 weeks on agency. Busy place to work but I loved my time there. I lost loads of weight got ripped while getting great wages :D. Great management team too. I really miss this place. Highly recommend. ","None - the wage is not worth it","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","ALDI"
"87","Store Assistant (Former Employee) - Sandhurst - 4 February 2021",NA,"Well paid","End up working more than 48 hours to achieve the results expected for free.","ALDI"
"88","Store Assistant (Current Employee) - Glasgow, Glasgow - 2 February 2021","Weight loss and wages are fab after first 12 weeks","Good money","Shift pattern","ALDI"
"89","Assistant Store Manager (Former Employee) - Northampton - 30 January 2021","I got painful elbows after a year from heavy lifting","Early starts and average finish times of 1pm. Good working atmosphere.","Quite physical. Some days targets are hard to hit.","ALDI"
"90","Logistics assistant, transport (Former Employee) - Bolton - 29 January 2021","Good place to work if you have alot of time on your hands hard to progress here sort of if your face fits. Overall however it is a place that offers lots of incentives and bonuses to its staff and It is a place to work where you can feel proud. ","Decent pay","Management the job in general.","ALDI"
"91","Stock Picker (Current Employee) - Chelmsford - 27 January 2021",NA,"Good pay","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","ALDI"
"92","Picker/Packer (Former Employee) - Faverdale - 26 January 2021","Pay, fun place to work","Cheap food, paid breaks","Unsociable hours, low pay, upper management clueless","ALDI"
"93","Deputy Store Manager (Current Employee) - Gateshead - 24 January 2021","Lack of progression","Money","Management","ALDI"
"94","Store Assistant (Current Employee) - Exeter - 21 January 2021","Disgusting company, revenue, and performance hungry management, you work there like a slave! 0 Pick...which means you don't go home until you pick up all the products from the ground, then you pick up about 300 pallets from the ground! But that wouldn’t be such a problem if they weren’t pushing so much(under pressure) ect..","Weight loss and wages are fab after first 12 weeks","I got painful elbows after a year from heavy lifting","ALDI"
"95","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020",NA,"Pay, fun place to work","Lack of progression","ALDI"
"96","Store Assistant (Former Employee) - Fishponds, Bristol - 9 March 2021","Free coffee.","Free coffee.","A lot","ALDI"
"97","Store Assistant (Former Employee) - West Bromwich - 9 March 2021","A lot","Engaged in Work","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","ALDI"
"98","Warehouse Operative / Order Picker (Former Employee) - Rotherham - 7 March 2021","Fast paced, expected to add on more responsibilities. You would be pushed to complete work within the timelines. If your quick and would like to work at a rapid pace, then it is Aldi.","Paid lunch breaks and good hourly pay.","Awkward shifts.little overtime availiable","ALDI"
"99","Deputy Manager (Former Employee) - Blackpool, Lancashire - 3 March 2021",NA,"Salary","Culture","ALDI"
"100","Selector (Former Employee) - Sawley, Derbyshire - 24 February 2021","Engaged in Work","Great salary, free fruit, nice offices","Boring job, no development","ALDI"
"101","Store Assistant (Former Employee) - Stevenage - 24 February 2021","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","Good wages","No focus on staff retention","ALDI"
"102","Store Assistant (Current Employee) - Birmingham, West Midlands - 22 February 2021","Aldi is a great company and they look after their staff where possible. It can be tough going at first but once you get into the swing it is a pretty fun place to work. The only real down fall is the short contracts and the lack of hours available some staff put on to as little as 15 hrs a week, spread over multiple shifts ranging anywhere from 5am to 10pm with only one weeks notice. ","Wages","Vindictive superiors","ALDI"
"103","Deputy Manager (Former Employee) - Darlington, Durham - 19 February 2021",NA,"Competitive pay","Long hours, stressful, little training and support","ALDI"
"104","Administration Assistant (Former Employee) - Atherstone, Warwickshire - 18 February 2021","Paid lunch breaks and good hourly pay.","None","Everything","ALDI"
"105","Store Assistant (Former Employee) - Lancashire - 15 February 2021","Awkward shifts.little overtime availiable","None - the wage is not worth it","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","ALDI"
"106","HGV Class 1 Driver (Former Employee) - Chelmsford - 14 February 2021","Working for ALDI was a really stressful time. Not only would the management team demand more of you than you were physically capable of, they would often reduce your hours below your contracted hours.","Well paid","End up working more than 48 hours to achieve the results expected for free.","ALDI"
"107","Store Assistant (Former Employee) - Oswestry - 5 February 2021","Management were unsupportive and unsympathetic on mental health issues and the culture was very stressful and showed very little interest in providing sufficient training or development.","Good money","Shift pattern","ALDI"
"108","Store Assistant (Former Employee) - Sandhurst - 4 February 2021",NA,"Early starts and average finish times of 1pm. Good working atmosphere.","Quite physical. Some days targets are hard to hit.","ALDI"
"109","Store Assistant (Current Employee) - Glasgow, Glasgow - 2 February 2021","Salary","Decent pay","Management the job in general.","ALDI"
"110","Assistant Store Manager (Former Employee) - Northampton - 30 January 2021","Culture","Good pay","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","ALDI"
"111","Logistics assistant, transport (Former Employee) - Bolton - 29 January 2021","The office jobs will fit a certain type of person, you are expected to fit the 'Aldi persona', i.e. do as you're told and don't question anything. The processes are very dated and probably haven't changed since the 80s but you are not allowed to question anything or suggest improvements because it is the 'Aldi way'. The work is very monotonous, boring and manual, with no space or opportunity for development.","Cheap food, paid breaks","Unsociable hours, low pay, upper management clueless","ALDI"
"112","Stock Picker (Current Employee) - Chelmsford - 27 January 2021","My Director was nice and friendly but generally the culture is very formal, you are not allowed to contact people above your job grade directly, there are some very odd office/job culture rules, it is not a relaxed environment by any means.","Money","Management","ALDI"
"113","Picker/Packer (Former Employee) - Faverdale - 26 January 2021","Some people have been there 20+ years and think they know it all even though it's the only job they've had but were not willing to accept any suggestions on improving processes as you've only been there a short while so your input isn't valued.","Weight loss and wages are fab after first 12 weeks","I got painful elbows after a year from heavy lifting","ALDI"
"114","Deputy Store Manager (Current Employee) - Gateshead - 24 January 2021","Pay was excellent which I can only assume was the main reason people were staying there. I personally wouldn't return, it was not a right fit for me. ","Pay, fun place to work","Lack of progression","ALDI"
"115","Store Assistant (Current Employee) - Exeter - 21 January 2021",NA,"Free coffee.","A lot","ALDI"
"116","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","Great salary, free fruit, nice offices","Engaged in Work","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","ALDI"
"117","Store Assistant (Former Employee) - Fishponds, Bristol - 9 March 2021","Boring job, no development","Paid lunch breaks and good hourly pay.","Awkward shifts.little overtime availiable","ALDI"
"118","Store Assistant (Former Employee) - West Bromwich - 9 March 2021","Great to work at for a short term due to the wages (£10+)","Salary","Culture","ALDI"
"119","Warehouse Operative / Order Picker (Former Employee) - Rotherham - 7 March 2021","But don't expect to get any higher than the position you apply for. no matter your time spent with the company/skillset/ability.","Great salary, free fruit, nice offices","Boring job, no development","ALDI"
"120","Deputy Manager (Former Employee) - Blackpool, Lancashire - 3 March 2021",NA,"Good wages","No focus on staff retention","ALDI"
"121","Selector (Former Employee) - Sawley, Derbyshire - 24 February 2021","Good wages","Wages","Vindictive superiors","ALDI"
"122","Store Assistant (Former Employee) - Stevenage - 24 February 2021","No focus on staff retention","Competitive pay","Long hours, stressful, little training and support","ALDI"
"123","Store Assistant (Current Employee) - Birmingham, West Midlands - 22 February 2021","Be careful at Aldi. If they don't like you, for whatever reason, they will use any excuse to get rid of you. Certain middle management individuals, apparently supported by senior management, will even fabricate blatant lies to backup their actions.","None","Everything","ALDI"
"124","Deputy Manager (Former Employee) - Darlington, Durham - 19 February 2021",NA,"None - the wage is not worth it","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","ALDI"
"125","Administration Assistant (Former Employee) - Atherstone, Warwickshire - 18 February 2021","Wages","Well paid","End up working more than 48 hours to achieve the results expected for free.","ALDI"
"126","Store Assistant (Former Employee) - Lancashire - 15 February 2021","Vindictive superiors","Good money","Shift pattern","ALDI"
"127","HGV Class 1 Driver (Former Employee) - Chelmsford - 14 February 2021","Management are always under pressure to perform better and meet targets. Unfortunately some managers put all this pressure on their staff instead of taking some of the blame themselves. Work-life balance is non-existent. On till training consists of three test runs, no extra support provided as you are usually the only one on the till. ","Early starts and average finish times of 1pm. Good working atmosphere.","Quite physical. Some days targets are hard to hit.","ALDI"
"128","Store Assistant (Former Employee) - Oswestry - 5 February 2021",NA,"Decent pay","Management the job in general.","ALDI"
"129","Store Assistant (Former Employee) - Sandhurst - 4 February 2021","Competitive pay","Good pay","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","ALDI"
"130","Store Assistant (Current Employee) - Glasgow, Glasgow - 2 February 2021","Long hours, stressful, little training and support","Cheap food, paid breaks","Unsociable hours, low pay, upper management clueless","ALDI"
"131","Assistant Store Manager (Former Employee) - Northampton - 30 January 2021","The managers are unprofessional and rude. You have barely any free time to yourself as you literally finish a shift at midnight then start work at 11:00am the next day. You are told in the interview that 10 hour shifts aren’t given to workers anymore due to them being to long, that is a LIE, my first three shifts were back to back 10 hour shifts. Stay away from this job. ","Money","Management","ALDI"
"132","Logistics assistant, transport (Former Employee) - Bolton - 29 January 2021",NA,"Weight loss and wages are fab after first 12 weeks","I got painful elbows after a year from heavy lifting","ALDI"
"133","Stock Picker (Current Employee) - Chelmsford - 27 January 2021","None","Pay, fun place to work","Lack of progression","ALDI"
"134","Picker/Packer (Former Employee) - Faverdale - 26 January 2021","Everything","Free coffee.","A lot","ALDI"
"135","Deputy Store Manager (Current Employee) - Gateshead - 24 January 2021","They basically run a supermarket with 5 staff. The assistants are ran ragged and treated badly by managers who speak to them like rubbish.","Engaged in Work","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","ALDI"
"136","Store Assistant (Current Employee) - Exeter - 21 January 2021","Don’t do it","Paid lunch breaks and good hourly pay.","Awkward shifts.little overtime availiable","ALDI"
"137","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020",NA,"Salary","Culture","ALDI"
"138","Store Assistant (Former Employee) - Fishponds, Bristol - 9 March 2021","None - the wage is not worth it","Great salary, free fruit, nice offices","Boring job, no development","ALDI"
"139","Store Assistant (Former Employee) - West Bromwich - 9 March 2021","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","Good wages","No focus on staff retention","ALDI"
"140","Warehouse Operative / Order Picker (Former Employee) - Rotherham - 7 March 2021","For store colleagues it’s a rewarding well paid job if you can cope with the pace. For management if your face doesn’t fit they can and do manage a high proportion of people out of the business using dubious tactics. ","Wages","Vindictive superiors","ALDI"
"141","Deputy Manager (Former Employee) - Blackpool, Lancashire - 3 March 2021",NA,"Competitive pay","Long hours, stressful, little training and support","ALDI"
"142","Selector (Former Employee) - Sawley, Derbyshire - 24 February 2021","Well paid","None","Everything","ALDI"
"143","Store Assistant (Former Employee) - Stevenage - 24 February 2021","End up working more than 48 hours to achieve the results expected for free.","None - the wage is not worth it","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","ALDI"
"144","Store Assistant (Current Employee) - Birmingham, West Midlands - 22 February 2021","It's a good place to work if you are prepared to work hard. Good salary and pension scheme. Lots of perk's as well. It's a fast paced environment and the day goes quickly. Friendly atmosphere. ","Well paid","End up working more than 48 hours to achieve the results expected for free.","ALDI"
"145","Deputy Manager (Former Employee) - Darlington, Durham - 19 February 2021",NA,"Good money","Shift pattern","ALDI"
"146","Administration Assistant (Former Employee) - Atherstone, Warwickshire - 18 February 2021","Good money","Early starts and average finish times of 1pm. Good working atmosphere.","Quite physical. Some days targets are hard to hit.","ALDI"
"147","Store Assistant (Former Employee) - Lancashire - 15 February 2021","Shift pattern","Decent pay","Management the job in general.","ALDI"
"148","HGV Class 1 Driver (Former Employee) - Chelmsford - 14 February 2021","Targets are set over the first 12 weeks and a regular weekly review with the department manager discussing any issues you may have. ","Good pay","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","ALDI"
"149","Store Assistant (Former Employee) - Oswestry - 5 February 2021","After the first 12 weeks you are expected to achieve the final target every week. ","Cheap food, paid breaks","Unsociable hours, low pay, upper management clueless","ALDI"
"150","Store Assistant (Former Employee) - Sandhurst - 4 February 2021","3 week rolling rota so you can plan ahead.","Money","Management","ALDI"
"151","Store Assistant (Current Employee) - Glasgow, Glasgow - 2 February 2021","Good atmosphere across all the warehouse. ","Weight loss and wages are fab after first 12 weeks","I got painful elbows after a year from heavy lifting","ALDI"
"152","Assistant Store Manager (Former Employee) - Northampton - 30 January 2021","Nice place to work. ","Pay, fun place to work","Lack of progression","ALDI"
"153","Logistics assistant, transport (Former Employee) - Bolton - 29 January 2021",NA,"Free coffee.","A lot","ALDI"
